,Date,ADBE,CVX,MDLZ,NFLX,ORCL,SBUX
91,06/01/2009,28.299999,49.849396,13.952106,5.905715,19.643879000000002,6.262104
92,05/01/2009,28.18,50.165421,14.21553,5.631429,17.96562,6.487521
93,04/01/2009,27.35,49.260059000000005,12.740076,6.472857,17.736351000000003,6.519080000000001
94,03/02/2009,21.389999,50.109627,12.13574,6.131429,16.528702,5.008781
95,02/02/2009,16.700001,45.24324,12.240067,5.177143,14.214501,4.125144000000001
96,01/02/2009,19.309998999999998,52.074622999999995,15.071722,5.162857,15.394469,4.255886
97,12/01/2008,21.290001,54.622238,14.426944,4.27,16.217703,4.2649029999999994
98,11/03/2008,23.16,58.343964,14.462523999999998,3.282857,14.717588000000001,4.0259599999999995
99,10/01/2008,26.639999,54.614506000000006,15.509609,3.537143,16.729939,5.919468
100,09/02/2008,39.470001,60.383438,17.407118,4.411428,18.577639,6.703922
101,08/01/2008,42.830002,63.194691000000006,16.609151999999998,4.405715,20.059462,7.014997999999999
102,07/01/2008,41.349998,61.441432999999996,16.772554,4.412857,19.693579,6.622771000000001
103,06/02/2008,39.389998999999996,72.028023,14.996203,3.724286,19.208786,7.0961490000000005
104,05/01/2008,44.060001,72.04255699999999,16.962301,4.337143,20.891842,8.200696
105,04/01/2008,37.290001000000004,69.398048,16.5184,4.5685720000000005,19.071581,7.317058
106,03/03/2008,35.59,61.610165,16.194613,4.95,17.891610999999997,7.889619000000001
107,02/01/2008,33.650002,62.548466000000005,16.137976000000002,4.5114279999999995,17.196436,8.10602
108,01/02/2008,34.93,59.657616000000004,15.154268,3.592857,18.797169,8.525297
109,12/03/2007,42.73,66.881027,16.893877,3.802857,20.654018,9.2286
110,11/01/2007,42.139998999999996,62.896679000000006,17.74118,3.3,18.458729,10.545039
111,10/01/2007,47.900002,65.138763,17.1558,3.781429,20.27899,12.028288
112,09/04/2007,43.66,66.612236,17.72064,2.964286,19.803342999999998,11.811886999999999
113,08/01/2007,42.75,62.469437,16.326239,2.502857,18.5502,12.420514
114,07/02/2007,40.290001000000004,60.262958999999995,16.677612,2.461429,17.489143,12.028288
115,06/01/2007,40.150002,59.542004000000006,17.950714,2.77,18.028816,11.82992
116,05/01/2007,44.060001,57.59826700000001,17.111704,3.128572,17.726965,12.988567
117,04/02/2007,41.560001,54.588032,16.924608,3.167143,17.196436,13.984914000000002
118,03/01/2007,41.700001,51.900383000000005,16.009354000000002,3.312857,16.583584,14.138198000000001
119,02/01/2007,39.25,48.082939,16.019426,3.218571,15.028588000000001,13.930813
120,01/03/2007,38.869999,50.777351,17.519524,3.258571,15.696321,15.752188
